arquivo,tipo_entidade,nome,identificador,aux
doc_grupo2_101.txt,Empresa,Souza & Ferreira Têxtil Participações S.A.,24.498.410/0001-59,
doc_grupo2_101.txt,Pessoa,Pedro Cunha Souza,786.135.910-62,
doc_grupo2_101.txt,Pessoa,Larissa Cardoso Souza,604.532.758-53,
doc_grupo2_101.txt,Pessoa,Aline Moreira Rocha,,9.554.563-9
doc_grupo2_101.txt,Pessoa,Larissa Martins Dias,,4.893.404-6
doc_grupo2_101.txt,Empresa,Ferreira & Carvalho Investimentos Holding Executiva,15.846.747/0001-39,
doc_grupo2_101.txt,Pessoa,Bruno Gomes Moreira,585.901.428-82,
doc_grupo2_101.txt,Pessoa,Diego Souza Pereira,519.815.463-86,
doc_grupo2_101.txt,Empresa,Pinto & Costa Transportes LTDA,67.375.865/0001-22,
doc_grupo2_101.txt,Pessoa,Diego Melo Almeida,168.634.469-91,
doc_grupo2_101.txt,Pessoa,Carlos Dias Martins,226.850.534-72,
doc_grupo2_101.txt,Pessoa,Bruno Oliveira Martins,293.200.609-67,
doc_grupo2_101.txt,Pessoa,Beatriz Carvalho Martins,,4.378.572-2
doc_grupo2_101.txt,Empresa,Cardoso & Marques Infraestrutura Empreendimentos Imobiliários,70.768.235/0001-68,
doc_grupo2_101.txt,Pessoa,Beatriz Barbosa Cunha,,2.891.281-4
doc_grupo2_101.txt,Pessoa,Ricardo Martins Nascimento,,5.945.769-9
doc_grupo2_101.txt,Pessoa,Juliana Ferreira Silva,,6.242.177-8
doc_grupo2_101.txt,Pessoa,Maria Souza Melo,442.691.530-86,
doc_grupo2_102.txt,Empresa,Costa & Moreira Tecnologia Holding Executiva,60.323.564/0001-49,
doc_grupo2_102.txt,Pessoa,Camila Costa Martins,640.793.293-34,
doc_grupo2_102.txt,Pessoa,Amanda Pereira Souza,969.808.892-60,
doc_grupo2_102.txt,Pessoa,Larissa Teixeira Melo,,3.680.264-2
doc_grupo2_102.txt,Empresa,Pinto & Lima Investimentos S/A,57.683.363/0001-86,
doc_grupo2_102.txt,Pessoa,João Nascimento Pinto,,3.917.369-7
doc_grupo2_102.txt,Pessoa,Diego Araújo Cavalcanti,,7.206.322-6
doc_grupo2_103.txt,Empresa,Dias & Melo Agronegócios LTDA,79.223.261/0001-94,
doc_grupo2_103.txt,Pessoa,Fernanda Souza Silva,,5.252.469-3
doc_grupo2_103.txt,Pessoa,Pedro Costa Moreira,,7.343.444-7
doc_grupo2_103.txt,Pessoa,Ana Oliveira Ribeiro,631.553.104-35,
doc_grupo2_103.txt,Empresa,Teixeira & Oliveira Saúde LTDA,18.587.505/0001-56,
doc_grupo2_103.txt,Pessoa,Rodrigo Mendes Rodrigues,278.968.488-48,
doc_grupo2_103.txt,Pessoa,Felipe Santos Teixeira,,4.373.806-4
doc_grupo2_103.txt,Pessoa,Carlos Oliveira Melo,,8.551.819-8
doc_grupo2_103.txt,Empresa,Rocha & Moreira Investimentos Empreendimentos Imobiliários,50.882.843/0001-36,
doc_grupo2_103.txt,Pessoa,Bruno Araújo Ribeiro,,8.346.733-7
doc_grupo2_103.txt,Pessoa,Larissa Moreira Santos,,2.645.831-2
doc_grupo2_103.txt,Empresa,Souza & Cunha Têxtil S/A,33.833.499/0001-44,
doc_grupo2_103.txt,Pessoa,Carlos Souza Costa,,1.857.124-7
doc_grupo2_103.txt,Pessoa,Aline Araújo Cunha,,2.481.982-9
doc_grupo2_103.txt,Pessoa,Mariana Almeida Gomes,298.766.102-84,
doc_grupo2_104.txt,Empresa,Cavalcanti & Silva Desenvolvimento de Software Serviços Logísticos,85.925.623/0001-33,
doc_grupo2_104.txt,Pessoa,Felipe Costa Rodrigues,623.557.433-26,
doc_grupo2_104.txt,Pessoa,Ricardo Costa Mendes,862.480.200-73,
doc_grupo2_104.txt,Pessoa,Maria Araújo Martins,,2.604.391-3
doc_grupo2_104.txt,Pessoa,Ricardo Pinto Cavalcanti,,8.668.714-3
doc_grupo2_104.txt,Empresa,Ribeiro & Oliveira Tecnologia Consultoria Empresarial,31.133.775/0001-21,
doc_grupo2_104.txt,Pessoa,Luiz Mendes Cunha,255.530.516-48,
doc_grupo2_104.txt,Pessoa,Pedro Oliveira Almeida,,8.829.332-8
doc_grupo2_104.txt,Pessoa,Amanda Carvalho Almeida,,3.846.382-9
doc_grupo2_104.txt,Empresa,Cunha & Araújo Alimentos Comércio e Indústria,22.818.188/0001-17,
doc_grupo2_104.txt,Pessoa,Felipe Carvalho Martins,238.565.209-97,
doc_grupo2_104.txt,Pessoa,Sofia Oliveira Teixeira,892.524.843-13,
doc_grupo2_105.txt,Empresa,Oliveira & Lima Infraestrutura Holding Executiva,37.856.962/0001-36,
doc_grupo2_105.txt,Pessoa,Beatriz Mendes Oliveira,910.785.625-66,
doc_grupo2_105.txt,Pessoa,Ana Melo Santos,,8.503.825-5
doc_grupo2_105.txt,Empresa,Oliveira & Cunha Desenvolvimento de Software Participações S.A.,11.976.145/0001-88,
doc_grupo2_105.txt,Pessoa,Larissa Moreira Rodrigues,269.357.893-65,
doc_grupo2_105.txt,Pessoa,Felipe Ferreira Pinto,396.898.274-48,
doc_grupo2_105.txt,Empresa,Souza & Carvalho Infraestrutura Comércio e Indústria,39.664.215/0001-23,
doc_grupo2_105.txt,Pessoa,Roberto Costa Pereira,140.368.387-81,
doc_grupo2_105.txt,Pessoa,Ricardo Lima Pinto,987.545.605-87,
doc_grupo2_105.txt,Pessoa,Gabriel Gomes Nascimento,,2.686.696-2
doc_grupo2_105.txt,Empresa,Cardoso & Rodrigues Tecnologia Comércio e Indústria,64.823.956/0001-84,
doc_grupo2_105.txt,Pessoa,Ricardo Cardoso Carvalho,405.212.552-87,
doc_grupo2_105.txt,Pessoa,Camila Souza Pinto,834.421.546-10,
doc_grupo2_105.txt,Pessoa,Ana Cavalcanti Martins,,8.190.871-3
doc_grupo2_105.txt,Pessoa,Mariana Pinto Ferreira,,3.232.243-8
doc_grupo2_105.txt,Empresa,Lima & Pereira Investimentos LTDA,78.351.981/0001-20,
doc_grupo2_105.txt,Pessoa,Gabriel Carvalho Martins,142.500.892-22,
doc_grupo2_105.txt,Pessoa,Juliana Cardoso Carvalho,146.115.313-24,
doc_grupo2_105.txt,Pessoa,Patricia Marques Pinto,640.727.812-62,
doc_grupo2_106.txt,Empresa,Oliveira & Santos Energia Comércio e Indústria,77.719.503/0001-70,
doc_grupo2_106.txt,Pessoa,Roberto Oliveira Costa,557.826.595-75,
doc_grupo2_106.txt,Pessoa,Maria Cavalcanti Dias,,8.985.645-7
doc_grupo2_106.txt,Pessoa,Ana Dias Santos,354.485.495-44,
doc_grupo2_106.txt,Pessoa,Larissa Gomes Nascimento,,1.717.236-3
doc_grupo2_106.txt,Empresa,Silva & Gomes Saúde Comércio e Indústria,35.438.855/0001-31,
doc_grupo2_106.txt,Pessoa,Amanda Ribeiro Teixeira,,3.480.751-9
doc_grupo2_106.txt,Pessoa,Amanda Pinto Moreira,452.390.195-76,
doc_grupo2_106.txt,Pessoa,Luiz Souza Rodrigues,882.570.873-57,
