arquivo,tipo_entidade,nome,identificador,aux
doc_grupo1_001.txt,Empresa,Cavalcanti & Souza Agronegócios Serviços Logísticos,36.562.756/0001-83,
doc_grupo1_001.txt,Pessoa,Camila Gomes Nascimento,312.996.451-82,
doc_grupo1_001.txt,Pessoa,Juliana Costa Cardoso,,9.327.115-7
doc_grupo1_002.txt,Empresa,Moreira & Carvalho Transportes Holding Executiva,37.285.737/0001-53,
doc_grupo1_002.txt,Pessoa,Ana Dias Pinto,676.753.349-30,
doc_grupo1_002.txt,Pessoa,Aline Carvalho Almeida,,2.922.924-9
doc_grupo1_002.txt,Pessoa,Letícia Marques Silva,,7.629.102-2
doc_grupo1_002.txt,Pessoa,Rodrigo Teixeira Souza,276.333.610-36,
doc_grupo1_003.txt,Empresa,Cardoso & Araújo Tecnologia Comércio e Indústria,85.868.113/0001-71,
doc_grupo1_003.txt,Pessoa,João Silva Cunha,556.363.468-37,
doc_grupo1_003.txt,Pessoa,Fernanda Rocha Ferreira,156.497.400-24,
doc_grupo1_003.txt,Pessoa,Larissa Carvalho Gomes,,1.950.120-0
doc_grupo1_004.txt,Empresa,Araújo & Souza Alimentos Serviços Logísticos,85.715.747/0001-20,
doc_grupo1_004.txt,Pessoa,Patricia Cardoso Santos,,5.594.533-9
doc_grupo1_004.txt,Pessoa,Ana Martins Teixeira,550.641.178-47,
doc_grupo1_004.txt,Pessoa,Luiz Dias Rocha,862.960.626-95,
doc_grupo1_004.txt,Pessoa,Amanda Cunha Gomes,,8.896.567-4
doc_grupo1_005.txt,Empresa,Cunha & Marques Transportes Participações S.A.,36.612.898/0001-77,
doc_grupo1_005.txt,Pessoa,Lucas Melo Cavalcanti,892.851.411-65,
doc_grupo1_005.txt,Pessoa,Amanda Nascimento Martins,,4.459.864-0
doc_grupo1_005.txt,Pessoa,Pedro Mendes Gomes,,1.310.281-2
doc_grupo1_006.txt,Empresa,Lima & Santos Alimentos Serviços Logísticos,76.176.977/0001-24,
doc_grupo1_006.txt,Pessoa,Luiz Souza Souza,,2.908.228-7
doc_grupo1_006.txt,Pessoa,Juliana Nascimento Marques,373.304.399-17,
doc_grupo1_006.txt,Pessoa,Larissa Pereira Dias,,3.553.280-3
doc_grupo1_007.txt,Empresa,Cavalcanti & Melo Alimentos LTDA,18.774.761/0001-60,
doc_grupo1_007.txt,Pessoa,Roberto Almeida Silva,,2.200.712-4
doc_grupo1_007.txt,Pessoa,Letícia Rocha Ferreira,896.331.484-34,
doc_grupo1_008.txt,Empresa,Silva & Rodrigues Construções Comércio e Indústria,14.543.916/0001-27,
doc_grupo1_008.txt,Pessoa,Letícia Ribeiro Rocha,,1.565.298-2
doc_grupo1_008.txt,Pessoa,Diego Cunha Moreira,,6.275.373-4
doc_grupo1_008.txt,Pessoa,Roberto Melo Gomes,188.625.654-87,
doc_grupo1_008.txt,Pessoa,Lucas Melo Rodrigues,,3.408.148-4
doc_grupo1_009.txt,Empresa,Souza & Pinto Saúde Participações S.A.,57.208.621/0001-61,
doc_grupo1_009.txt,Pessoa,Mariana Marques Araújo,,6.337.889-9
doc_grupo1_009.txt,Pessoa,Mariana Teixeira Teixeira,,6.915.237-6
doc_grupo1_009.txt,Pessoa,Roberto Pinto Pinto,111.181.408-70,
doc_grupo1_010.txt,Empresa,Moreira & Martins Investimentos S/A,26.621.239/0001-64,
doc_grupo1_010.txt,Pessoa,Sofia Dias Carvalho,458.663.757-42,
doc_grupo1_010.txt,Pessoa,João Costa Ribeiro,136.609.801-17,
doc_grupo1_010.txt,Pessoa,Rodrigo Lima Cunha,,7.290.489-1
doc_grupo1_011.txt,Empresa,Teixeira & Souza Têxtil Holding Executiva,41.196.282/0001-77,
doc_grupo1_011.txt,Pessoa,Carlos Rodrigues Dias,,6.633.334-0
doc_grupo1_011.txt,Pessoa,Roberto Lima Rocha,,3.935.758-5
doc_grupo1_012.txt,Empresa,Cardoso & Almeida Investimentos Consultoria Empresarial,12.758.498/0001-76,
doc_grupo1_012.txt,Pessoa,Amanda Ribeiro Pinto,525.925.228-39,
doc_grupo1_012.txt,Pessoa,Camila Rodrigues Silva,,2.685.983-6
doc_grupo1_012.txt,Pessoa,Aline Santos Dias,215.268.856-17,
doc_grupo1_012.txt,Pessoa,Gabriel Nascimento Barbosa,211.740.855-39,
doc_grupo1_013.txt,Empresa,Teixeira & Moreira Construções S/A,98.494.477/0001-40,
doc_grupo1_013.txt,Pessoa,Sofia Moreira Melo,997.617.885-56,
doc_grupo1_013.txt,Pessoa,Patricia Silva Barbosa,465.920.155-94,
doc_grupo1_013.txt,Pessoa,Ricardo Carvalho Melo,,9.387.184-9
doc_grupo1_014.txt,Empresa,Moreira & Cardoso Agronegócios Consultoria Empresarial,77.293.530/0001-52,
doc_grupo1_014.txt,Pessoa,Carlos Barbosa Nascimento,,5.373.685-9
doc_grupo1_014.txt,Pessoa,Diego Nascimento Rodrigues,307.319.528-96,
doc_grupo1_014.txt,Pessoa,Patricia Moreira Carvalho,215.841.515-76,
doc_grupo1_015.txt,Empresa,Araújo & Rocha Têxtil Empreendimentos Imobiliários,68.852.780/0001-18,
doc_grupo1_015.txt,Pessoa,Mariana Cavalcanti Mendes,,4.150.217-1
doc_grupo1_015.txt,Pessoa,Rodrigo Ferreira Pereira,638.179.878-75,
doc_grupo1_015.txt,Pessoa,Letícia Mendes Rocha,986.577.241-48,
doc_grupo1_015.txt,Pessoa,Carlos Mendes Oliveira,512.363.222-75,
doc_grupo1_016.txt,Empresa,Ribeiro & Moreira Agronegócios Participações S.A.,11.410.891/0001-39,
doc_grupo1_016.txt,Pessoa,Letícia Marques Mendes,,6.718.444-3
doc_grupo1_016.txt,Pessoa,Maria Souza Silva,435.252.851-91,
doc_grupo1_017.txt,Empresa,Cunha & Almeida Transportes Comércio e Indústria,12.815.642/0001-29,
doc_grupo1_017.txt,Pessoa,Roberto Souza Silva,,6.724.784-3
doc_grupo1_017.txt,Pessoa,Amanda Teixeira Pinto,973.216.504-52,
doc_grupo1_017.txt,Pessoa,Beatriz Melo Melo,702.475.427-59,
doc_grupo1_018.txt,Empresa,Gomes & Santos Transportes LTDA,94.530.477/0001-53,
doc_grupo1_018.txt,Pessoa,Lucas Martins Dias,550.905.807-67,
doc_grupo1_018.txt,Pessoa,Felipe Mendes Pinto,932.408.263-12,
doc_grupo1_019.txt,Empresa,Costa & Pereira Investimentos S/A,22.295.714/0001-31,
doc_grupo1_019.txt,Pessoa,Pedro Nascimento Nascimento,679.867.798-18,
doc_grupo1_019.txt,Pessoa,Fernanda Nascimento Souza,402.158.586-73,
doc_grupo1_020.txt,Empresa,Santos & Cavalcanti Construções Comércio e Indústria,37.852.826/0001-21,
doc_grupo1_020.txt,Pessoa,Fernanda Dias Moreira,366.730.693-73,
doc_grupo1_020.txt,Pessoa,Letícia Souza Barbosa,,8.987.891-8
doc_grupo1_020.txt,Pessoa,Amanda Barbosa Rodrigues,806.605.449-78,
doc_grupo1_020.txt,Pessoa,Luiz Pinto Carvalho,,6.182.599-1
doc_grupo1_021.txt,Empresa,Carvalho & Santos Infraestrutura S/A,26.347.737/0001-85,
doc_grupo1_021.txt,Pessoa,Letícia Almeida Martins,,8.838.117-8
doc_grupo1_021.txt,Pessoa,Bruno Oliveira Silva,,5.603.667-3
doc_grupo1_022.txt,Empresa,Barbosa & Pereira Construções Serviços Logísticos,59.186.720/0001-66,
doc_grupo1_022.txt,Pessoa,Juliana Cardoso Marques,,3.402.360-8
doc_grupo1_022.txt,Pessoa,Pedro Martins Rodrigues,519.163.485-14,
doc_grupo1_022.txt,Pessoa,Bruno Costa Araújo,,5.128.998-1
